-292, 1
-287, 1
-282, 1
-275, 3
-266, 1
-11, 2
-10, 7
-9, 8
-8, 15
-7, 71
-6, 133
-5, 107
-4, 116
-3, 459
-2, 487
-1, 100
0, 302
1, 202
2, 133
3, 86
4, 161
5, 219
6, 25
7, 19
8, 12
9, 8
11, 1
12, 1
13, 1
